Name,Address,Lat,Long,URL,COVID Beds,Oxygen Beds,ICU,Ventilator,Last Update,Contact
Ariyalur,A.S Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,3,0,3,2,2021-05-04 09:00:35,9842368480.0
Ariyalur,Golden Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,19,13,3,5,2021-05-04 00:03:21,0.0
Ariyalur,"KVS Hospital Pvt Ltd,Valaja Nagaram",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,30,26,4,1,2021-05-03 17:27:38,9585288077.0
Ariyalur,"SR Hospital,Ariyalur",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,9,0,4,1,2021-05-03 10:18:38,9361362038.0
Chengalpattu,"Parvathy Hospital Chrompet,",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,2,0,0,0,2021-05-04 08:49:03,7825830723.0
Chengalpattu,"DAISY HOSPITAL,CHROMPET",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-04 06:58:48,9940632392.0
Chengalpattu,AAYUSHMAAN HOLISTIC HEALTH CENTRE,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-23 11:59:39,9962331777.0
Chengalpattu,"Kasthuri Hospital , Thambaram",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,2,2021-05-03 14:13:51,7299009287.0
Chengalpattu,"Das Nursing Home,Chengalpattu",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,4,0,4,2,2021-05-03 10:16:50,7200084041.0
Chengalpattu,"Kathir Memorial Hospital,Chengalpattu",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,1,2021-05-03 13:06:32,9566572277.0
Chengalpattu,"Lakshmi Nursing Home, Pallavaram",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,1,2021-04-28 13:17:04,8939633433.0
Chengalpattu,"RKP Hospital,Nanmangalam",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 14:12:02,9842966662.0
Chengalpattu,"Christudas Orthopaedic Speciality Hospital,East Tambaram",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,2,2021-05-03 11:00:13,9840799398.0
Chengalpattu,Shri Isari Velan Mission Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-27 16:28:35,
Chengalpattu,"Sai Fertility Centre & Hospital, Vedhachalam Nagar",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,1,2021-05-04 05:58:50,9100096000.0
Chengalpattu,"Sudar Hospitals, Hasthinapuram",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 16:45:47,9790883397.0
Chengalpattu,Annai Arul Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 09:51:52,4471700700.0
Chengalpattu,Dr. Rela Institute,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,5,5,0,0,2021-05-03 07:28:16,4466667777.0
Chengalpattu,Chennai Emergency care Centre Pammal,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-04 08:28:31,7358244662.0
Chengalpattu,"Sugam Hospital, Chromepet",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 19:17:38,8585858550.0
Chengalpattu,"Deepam Hospitals, West Tambaram",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 16:46:54,8300017171.0
Chengalpet,KMS Health Centre,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-02 22:08:32,9791197514.0
Chennai,Sen Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,2,2021-05-03 13:43:06,9600899382.0
Chennai,"st. Isabels hospital, Maylapore",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,3,0,1,0,2021-05-03 18:01:00,9585965330.0
Chennai,"Sri Balaji Hospital, guindy",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,1,1,0,0,2021-04-29 11:45:47,8838811601.0
Chennai,"Radha Rajendran Hospital, Alandur",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-24 11:09:50,9952920853.0
Chennai,"One health hospital, Vandalur",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 12:57:40,9445025558.0
Chennai,"Srinivasa Hospital, Kodampakkam",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,1,0,0,1,2021-05-03 13:25:18,9840102493.0
Chennai,Be well hospital T.Nagar,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,1,1,0,0,2021-04-27 15:20:34,7550203865.0
Chennai,Prime Indian Hospitals,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-28 09:55:58,9941011680.0
Chennai,"Amrit Medical Centre,Purasawakkam",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,4,0,0,0,2021-05-03 16:02:13,8122119835.0
Chennai,Fortis healthcare – Vadapalani,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 18:30:15,9940141573.0
Chennai,"City Tower Hospital,Anna Nagar",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,13,0,0,0,2021-04-30 16:47:34,9790985752.0
Chennai,"Esha Hospital,Old Washermenpet",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,3,0,0,0,2021-05-04 08:35:27,9962562594.0
Chennai,Faith Multispecialty Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-28 12:15:43,9500170383.0
Chennai,"G.R Hospital,Adambakkam",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,2,1,0,0,2021-05-04 05:43:25,9384658090.0
Chennai,"GeriCare, T Nagar",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 09:57:41,4440614061.0
Chennai,"Hindu Mission Health Services,Nanganallur",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-30 16:13:23,8939673657.0
Chennai,"Iyyappa Hospitals and Diabetes Research Centre Pvt Ltd,Perambur",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-22 13:02:48,
Chennai,"Jyoti Hospital,Old Washermenpet",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-03 14:30:52,8778393657.0
Chennai,Vijai's Nursing home,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-04-27 13:20:45,8822882285.0
Chennai,Jolen Hospital,N/A,N/A,https://stopcorona.tn.gov.in/beds.php,2,0,0,0,2021-05-03 10:22:09,7305855991.0
Chennai,"SenthilPriya Hospital,Teynampet",N/A,N/A,https://stopcorona.tn.gov.in/beds.php,0,0,0,0,2021-05-01 20:33:56,
